outcome_key,outcome,family,outcome_order,geo_key,geography,geo_order,property_key,property_type,property_order,fe_key,fixed_effects,fe_order,sample_key,benchmark,benchmark_se,centroid,centroid_se,corrected,corrected_se,delta_centroid,delta_corrected,mean_error_centroid,mean_error_corrected,rmse_sd_exact_centroid,rmse_sd_exact_corrected,rmse_improvement_percent,N
cbd,CBD distance,primary,1,poa,Postcode,3,apartment,Apartment,2,none,No FE,1,full,-0.192880879887444,0.00161463034463723,-0.178604013627366,0.00149642219569432,-0.191610569472129,0.00158775536492034,0.0142768662600776,0.00127031041531467,0.39824788050017,-0.006817250003499,0.215526381679396,0.0829682765066991,61.5043523395119,58204
cbd,CBD distance,primary,1,poa,Postcode,3,apartment,Apartment,2,sa3,SA3,2,full,-0.197448325838085,0.069199799945698,-0.11236281164462,0.0086621637287497,-0.187003012086899,0.0402095888938885,0.0850855141934655,0.0104453137511865,0.39824788050017,-0.006817250003499,0.215526381679396,0.0829682765066991,61.5043523395119,58203
cbd,CBD distance,primary,1,poa,Postcode,3,apartment,Apartment,2,sa4,SA4,3,full,-0.272517967270345,0.0257705782007398,-0.163431575174353,0.0367411765940633,-0.249166928979698,0.0270170042324489,0.109086392095992,0.0233510382906469,0.39824788050017,-0.006817250003499,0.215526381679396,0.0829682765066991,61.5043523395119,58203
shops1,Shops within 1 km,primary,2,sa1,SA1,1,house,House,1,none,No FE,1,full,0.0473143644741114,0.00049941000532731,0.0506973532171173,0.000499586892026609,0.0494516511342127,0.000499226595877493,0.00338298874300591,0.00213728666010127,-0.632367689211007,0.0855850409325946,0.442136692285729,0.405066542392219,8.38431881820685,281194
shops1,Shops within 1 km,primary,2,sa1,SA1,1,house,House,1,sa3,SA3,2,full,0.0195462534708516,0.00306271121393629,0.0220556473351155,0.00322523960073747,0.0213080819294183,0.0032510970514513,0.00250939386426386,0.00176182845856667,-0.632367689211007,0.0855850409325946,0.442136692285729,0.405066542392219,8.38431881820685,281194
shops1,Shops within 1 km,primary,2,sa1,SA1,1,house,House,1,sa4,SA4,3,full,0.0275664686084983,0.00452041563499582,0.0306590394056633,0.00504595920300139,0.0298310529930473,0.00489580916251441,0.00309257079716498,0.00226458438454905,-0.632367689211007,0.0855850409325946,0.442136692285729,0.405066542392219,8.38431881820685,281194
shops1,Shops within 1 km,primary,2,sa1,SA1,1,apartment,Apartment,2,none,No FE,1,full,0.0478655871148916,0.00117175837186445,0.0520125084982368,0.00118537523825425,0.0543781558658978,0.00119078313268456,0.00414692138334516,0.00651256875100614,-0.110721649484536,1.73056701030928,0.354788063562323,0.288652508337405,18.6408625366001,58200
shops1,Shops within 1 km,primary,2,sa1,SA1,1,apartment,Apartment,2,sa3,SA3,2,full,0.0204583746472346,0.00541269548149915,0.0223250014255914,0.00529315298866088,0.0248281876470966,0.00512443407291904,0.00186662677835686,0.00436981299986201,-0.110721649484536,1.73056701030928,0.354788063562323,0.288652508337405,18.6408625366001,58199
shops1,Shops within 1 km,primary,2,sa1,SA1,1,apartment,Apartment,2,sa4,SA4,3,full,0.0275737577273022,0.00558028571823769,0.0301034444681372,0.00556623820541017,0.0328243216509195,0.00481446447387041,0.00252968674083495,0.00525056392361731,-0.110721649484536,1.73056701030928,0.354788063562323,0.288652508337405,18.6408625366001,58199
shops1,Shops within 1 km,primary,2,sa2,SA2,2,house,House,1,none,No FE,1,full,0.0473143644741114,0.00049941000532731,0.0270140406115047,0.000481088243697658,0.0190354174763065,0.000458553410949947,-0.0203003238626067,-0.0282789469978049,2.45738884897971,13.5929856255823,1.08654187446826,1.10140159312282,-1.36761582813702,281194
shops1,Shops within 1 km,primary,2,sa2,SA2,2,house,House,1,sa3,SA3,2,full,0.0195462534708516,0.00306271121393629,0.00873287205694213,0.00452422851092991,0.00864851109102485,0.00496651266935187,-0.0108133814139095,-0.0108977423798268,2.45738884897971,13.5929856255823,1.08654187446826,1.10140159312282,-1.36761582813702,281194
shops1,Shops within 1 km,primary,2,sa2,SA2,2,house,House,1,sa4,SA4,3,full,0.0275664686084983,0.00452041563499582,0.00573297876045112,0.00642435079161052,0.00674712061067745,0.00625868421629211,-0.0218334898480472,-0.0208193479978208,2.45738884897971,13.5929856255823,1.08654187446826,1.10140159312282,-1.36761582813702,281194
shops1,Shops within 1 km,primary,2,sa2,SA2,2,apartment,Apartment,2,none,No FE,1,full,0.0477570719777276,0.00117160920691529,0.0209379412159549,0.00102467377502208,0.039032715122012,0.00112660483850201,-0.0268191307617727,-0.0087243568557156,-17.4467423604789,15.9720184825738,0.965191094172497,0.768123828354127,20.4174351595448,58217
shops1,Shops within 1 km,primary,2,sa2,SA2,2,apartment,Apartment,2,sa3,SA3,2,full,0.0204719930716891,0.00541443552050952,0.0100423725777077,0.0101498444811019,0.0161873163882995,0.00803172603032752,-0.0104296204939814,-0.00428467668338963,-17.4467423604789,15.9720184825738,0.965191094172497,0.768123828354127,20.4174351595448,58216
shops1,Shops within 1 km,primary,2,sa2,SA2,2,apartment,Apartment,2,sa4,SA4,3,full,0.0275528394880778,0.00559012341366566,0.00976210323779415,0.0100577314037772,0.0133433293186869,0.00905307689026068,-0.0177907362502837,-0.0142095101693909,-17.4467423604789,15.9720184825738,0.965191094172497,0.768123828354127,20.4174351595448,58216
shops1,Shops within 1 km,primary,2,poa,Postcode,3,house,House,1,none,No FE,1,full,0.0473005484345705,0.000499451731373041,0.0438285285555367,0.000525932714004057,0.0249929697024669,0.000460623813529314,-0.00347201987903389,-0.0223075787321037,-0.425955969204059,14.5755489618466,1.13922774936428,1.13839970251292,0.0726849264181091,281076
shops1,Shops within 1 km,primary,2,poa,Postcode,3,house,House,1,sa3,SA3,2,full,0.0195358408974266,0.00306195668218392,0.0150590165664226,0.00571547889783217,0.00927057374591961,0.00706805873760659,-0.00447682433100404,-0.010265267151507,-0.425955969204059,14.5755489618466,1.13922774936428,1.13839970251292,0.0726849264181091,281076
shops1,Shops within 1 km,primary,2,poa,Postcode,3,house,House,1,sa4,SA4,3,full,0.0275533504803719,0.00451717940047293,0.0256435294468173,0.00492140125461223,0.0171120132539185,0.00908411042064192,-0.00190982103355465,-0.0104413372264534,-0.425955969204059,14.5755489618466,1.13922774936428,1.13839970251292,0.0726849264181091,281076
shops1,Shops within 1 km,primary,2,poa,Postcode,3,apartment,Apartment,2,none,No FE,1,full,0.0476716025882951,0.00117157800564601,0.0351717792105148,0.000958075041881652,0.0236993912968018,0.00120033220010298,-0.0124998233777802,-0.0239722112914933,-30.7458422101574,33.2203800426088,1.21235250296064,0.865682798343682,28.5947943168647,58204
shops1,Shops within 1 km,primary,2,poa,Postcode,3,apartment,Apartment,2,sa3,SA3,2,full,0.0204409057617392,0.00541628566541978,0.0297691634304753,0.00760676545342775,0.0130430938666719,0.00690546444961837,0.00932825766873611,-0.00739781189506727,-30.7458422101574,33.2203800426088,1.21235250296064,0.865682798343682,28.5947943168647,58203
shops1,Shops within 1 km,primary,2,poa,Postcode,3,apartment,Apartment,2,sa4,SA4,3,full,0.027519952966758,0.00558853531942295,0.0275896479470786,0.00654201521567731,0.0148400044037721,0.00624358775695529,0.0000696949803205837,-0.0126799485629858,-30.7458422101574,33.2203800426088,1.21235250296064,0.865682798343682,28.5947943168647,58203
