outcome_order,outcome,geo_order,geography,property_order,property_type,mean_error_centroid,mean_error_corrected,rmse_sd_exact_centroid,rmse_sd_exact_corrected,rmse_improvement_percent
1,CBD distance,1,SA1,1,House,-0.00669839428620795,-0.00573173688130459,0.0060442043098356,0.00519426134059433,14.0621151382685
1,CBD distance,1,SA1,2,Apartment,0.00854372345798571,0.00132089479461832,0.0128980064088211,0.0107739442888549,16.4681428481343
1,CBD distance,2,SA2,1,House,0.123877879079985,-0.0692453559911247,0.0391092762743666,0.0351049880366948,10.2387173047648
1,CBD distance,2,SA2,2,Apartment,0.0291542856457322,0.0121321122230481,0.0594924691781791,0.0751373260373593,-26.2972054703666
1,CBD distance,3,Postcode,1,House,0.875500122582421,0.0196361356035453,0.0648433831980353,0.042400567212269,34.6108035683837
1,CBD distance,3,Postcode,2,Apartment,0.39824788050017,-0.006817250003499,0.215526381679396,0.0829682765066991,61.5043523395119
2,Shops within 1 km,1,SA1,1,House,-0.632367689211007,0.0855850409325946,0.442136692285729,0.405066542392219,8.38431881820685
2,Shops within 1 km,1,SA1,2,Apartment,-0.110721649484536,1.73056701030928,0.354788063562323,0.288652508337405,18.6408625366001
2,Shops within 1 km,2,SA2,1,House,2.45738884897971,13.5929856255823,1.08654187446826,1.10140159312282,-1.36761582813702
2,Shops within 1 km,2,SA2,2,Apartment,-17.4467423604789,15.9720184825738,0.965191094172497,0.768123828354127,20.4174351595448
2,Shops within 1 km,3,Postcode,1,House,-0.425955969204059,14.5755489618466,1.13922774936428,1.13839970251292,0.0726849264181091
2,Shops within 1 km,3,Postcode,2,Apartment,-30.7458422101574,33.2203800426088,1.21235250296064,0.865682798343682,28.5947943168647
