outcome_key,outcome,family,outcome_order,geo_key,geography,geo_order,property_key,property_type,property_order,fe_key,fixed_effects,fe_order,sample_key,status,benchmark,benchmark_se,benchmark_p,centroid,centroid_se,centroid_p,delta,relative_change_percent,se_difference,absorption_r2,N,sample,sample_order
cbd,CBD distance,primary,1,sa1,SA1,1,house,House,1,none,No FE,1,sydney,estimated,-0.502019485976765,0.00159024434394031,0,-0.502016732154564,0.00158988535246349,0,0.00000275382220138454,-0.00054854886678557,-0.000000358991476820565,,150123,Greater Sydney,2
cbd,CBD distance,primary,1,sa1,SA1,1,house,House,1,sa3,SA3,2,sydney,estimated,-0.299762329877007,0.0489015371166256,0.000000282687658154541,-0.301736929326917,0.0495854674334822,0.000000327300792534097,-0.00197459944991013,0.658721678177621,0.00068393031685661,0.96098515770364,150121,Greater Sydney,2
cbd,CBD distance,primary,1,sa1,SA1,1,house,House,1,sa4,SA4,3,sydney,estimated,-0.401613269570617,0.0523611596103524,0.000000953549141708785,-0.401953359788418,0.0527834874212898,0.00000104502348062642,-0.000340090217800626,0.0846810211635241,0.000422327810937394,0.856522560241182,150121,Greater Sydney,2
cbd,CBD distance,primary,1,sa1,SA1,1,apartment,Apartment,2,none,No FE,1,sydney,estimated,-0.304182533694604,0.00224028385763574,0,-0.303685525795487,0.00223592349456725,0,0.000497007899117108,-0.1633913338417,-0.00000436036306849423,,47441,Greater Sydney,2
cbd,CBD distance,primary,1,sa1,SA1,1,apartment,Apartment,2,sa3,SA3,2,sydney,estimated,-0.203350959916511,0.0626725021154288,0.00237825296766965,-0.201440468119586,0.0594797633620245,0.00159804501572334,0.00191049179692512,-0.939504685746018,-0.00319273875340422,0.915003779143172,47440,Greater Sydney,2
cbd,CBD distance,primary,1,sa1,SA1,1,apartment,Apartment,2,sa4,SA4,3,sydney,estimated,-0.289630487958181,0.023302534915215,0.0000000059501584628865,-0.287848827815788,0.0236583489168978,0.0000000078320786391009,0.00178166014239256,-0.61514937703997,0.000355814001682747,0.800860699057222,47440,Greater Sydney,2
cbd,CBD distance,primary,1,sa1,SA1,1,house,House,1,none,No FE,1,high_clustering,estimated,-0.304799083986918,0.00210720570260634,0,-0.304844399309796,0.00210740897814642,0,-0.0000453153228781034,0.0148672765958979,0.000000203275540077135,,64820,High clustering,3
cbd,CBD distance,primary,1,sa1,SA1,1,house,House,1,sa3,SA3,2,high_clustering,estimated,-0.146199901385117,0.0552975350469618,0.0115600523508531,-0.150758508693585,0.0563367132562495,0.0106592391156494,-0.00455860730846838,3.1180645576909,0.00103917820928776,0.989629625783739,64820,High clustering,3
cbd,CBD distance,primary,1,sa1,SA1,1,house,House,1,sa4,SA4,3,high_clustering,estimated,-0.331135386717459,0.0426356696105978,0.0000000236823940417446,-0.331552510415778,0.0432478465395042,0.0000000302606711190378,-0.000417123698318755,0.125967720470377,0.000612176928906409,0.962591239419092,64820,High clustering,3
cbd,CBD distance,primary,1,sa1,SA1,1,apartment,Apartment,2,none,No FE,1,high_clustering,estimated,-0.187427466660372,0.00197029354012424,0,-0.187325196012933,0.00196700270922943,0,0.000102270647438729,-0.0545654536450835,-0.0000032908308948143,,39501,High clustering,3
cbd,CBD distance,primary,1,sa1,SA1,1,apartment,Apartment,2,sa3,SA3,2,high_clustering,estimated,-0.205877137357051,0.0495311951147281,0.000165465405912277,-0.202663238351081,0.0468219957534643,0.0000976594545191536,0.0032138990059693,-1.5610762065316,-0.00270919936126375,0.96059210440912,39500,High clustering,3
cbd,CBD distance,primary,1,sa1,SA1,1,apartment,Apartment,2,sa4,SA4,3,high_clustering,estimated,-0.270237452538737,0.026020058542721,0.0000000000626479554347372,-0.267917373546602,0.0265986874706027,0.000000000121551324642646,0.00232007899213454,-0.858533475037837,0.000578628927881686,0.91200231750578,39500,High clustering,3
cbd,CBD distance,primary,1,sa1,SA1,1,house,House,1,none,No FE,1,high_irregularity,estimated,-0.30482949960461,0.00186892292492791,0,-0.304773678205026,0.00186899651052504,0,0.0000558213995835999,-0.0183123351434222,0.000000073585597129772,,66521,Most irregular,4
cbd,CBD distance,primary,1,sa1,SA1,1,house,House,1,sa3,SA3,2,high_irregularity,estimated,-0.189793551816353,0.0518844315490204,0.000717589063392091,-0.18860985046811,0.0516340801278545,0.000728594493362981,0.00118370134824203,-0.623678379435877,-0.000250351421165904,0.990205226904562,66521,Most irregular,4
cbd,CBD distance,primary,1,sa1,SA1,1,house,House,1,sa4,SA4,3,high_irregularity,estimated,-0.339279640010143,0.0542799078669808,0.00000109619730875159,-0.338675076112495,0.0541308796611319,0.0000010790355171311,0.000604563897648291,-0.178190444210036,-0.000149028205848889,0.961393676009993,66521,Most irregular,4
cbd,CBD distance,primary,1,sa1,SA1,1,apartment,Apartment,2,none,No FE,1,high_irregularity,estimated,-0.172866691005174,0.00295180404516288,0,-0.173295897654961,0.0029522551718899,0,-0.000429206649787517,0.248287652925949,0.000000451126727021075,,16606,Most irregular,4
cbd,CBD distance,primary,1,sa1,SA1,1,apartment,Apartment,2,sa3,SA3,2,high_irregularity,estimated,-0.270743922433496,0.0878526755904758,0.0037158190729873,-0.271288664146908,0.0840254218936962,0.00248606112761621,-0.000544741713412733,0.201201825147734,-0.00382725369677964,0.97543314092304,16604,Most irregular,4
cbd,CBD distance,primary,1,sa1,SA1,1,apartment,Apartment,2,sa4,SA4,3,high_irregularity,estimated,-0.293070735931446,0.0370919157698712,0.000000017079275948715,-0.293164985222691,0.0362975809419178,0.0000000111910905829416,-0.0000942492912450743,0.0321592297318762,-0.000794334827953373,0.933359175896034,16605,Most irregular,4
cbd,CBD distance,primary,1,sa1,SA1,1,house,House,1,none,No FE,1,low_residential,estimated,-0.294845374112355,0.00241340265799703,0,-0.29502132094868,0.00241481536454469,0,-0.00017594683632538,0.0596742739665146,0.0000014127065476547,,57963,Low residential share,5
cbd,CBD distance,primary,1,sa1,SA1,1,house,House,1,sa3,SA3,2,low_residential,estimated,-0.100620605655166,0.0677017070058591,0.144867014910506,-0.105671432268884,0.0686649006139928,0.131500915628333,-0.00505082661371865,5.01967423156666,0.000963193608133725,0.988313875401051,57963,Low residential share,5
cbd,CBD distance,primary,1,sa1,SA1,1,house,House,1,sa4,SA4,3,low_residential,estimated,-0.278134021205596,0.0501830717889327,0.00000712123044603173,-0.27898303370195,0.050508770278317,0.00000749012373459504,-0.00084901249635494,0.305253018913265,0.000325698489384199,0.959464694150422,57963,Low residential share,5
cbd,CBD distance,primary,1,sa1,SA1,1,apartment,Apartment,2,none,No FE,1,low_residential,estimated,-0.141762864963841,0.00249704590924346,0,-0.141718358046212,0.00249226521238445,0,0.000044506917628695,-0.0313953288402113,-0.00000478069685901474,,22250,Low residential share,5
cbd,CBD distance,primary,1,sa1,SA1,1,apartment,Apartment,2,sa3,SA3,2,low_residential,estimated,-0.230607766136428,0.0288187561000697,0.000000000785581978147215,-0.22498441778892,0.0273617220084487,0.00000000039559242682737,0.00562334834750805,-2.43849044710024,-0.00145703409162103,0.953800301575004,22249,Low residential share,5
cbd,CBD distance,primary,1,sa1,SA1,1,apartment,Apartment,2,sa4,SA4,3,low_residential,estimated,-0.252524592854593,0.0140990152515319,0.000000000000000163701195418086,-0.249088981955297,0.0133577319125669,0.0000000000000000596367425913972,0.00343561089929634,-1.3605054701641,-0.000741283338965032,0.924709072094925,22250,Low residential share,5
cbd,CBD distance,primary,1,sa1,SA1,1,house,House,1,none,No FE,1,large_area,estimated,-0.245783211786857,0.00211300864980541,0,-0.245895959074482,0.0021137645495145,0,-0.000112747287625226,0.0458726561531897,0.000000755899709087467,,90142,Largest area,6
cbd,CBD distance,primary,1,sa1,SA1,1,house,House,1,sa3,SA3,2,large_area,estimated,-0.0304256167793001,0.0825136776137411,0.714223131195375,-0.0358436848726032,0.0843623939711211,0.673147526158372,-0.00541806809330308,17.8075867207702,0.00184871635738006,0.987098827016536,90141,Largest area,6
cbd,CBD distance,primary,1,sa1,SA1,1,house,House,1,sa4,SA4,3,large_area,estimated,-0.293298331253346,0.0523544334059962,0.00000607221439541499,-0.294139136156987,0.052881297315045,0.00000675378030981956,-0.000840804903640302,0.286672242575436,0.000526863909048804,0.948766383833041,90142,Largest area,6
cbd,CBD distance,primary,1,sa1,SA1,1,apartment,Apartment,2,none,No FE,1,large_area,estimated,-0.156412919541775,0.00507001854760082,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000150657002043759,-0.156342323960376,0.00507573919459697,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000576792258140384,0.000070595581398436,-0.0451341114309778,0.00000572064699615443,,8001,Largest area,6
cbd,CBD distance,primary,1,sa1,SA1,1,apartment,Apartment,2,sa3,SA3,2,large_area,estimated,0.000275896886839605,0.218159121387972,0.998997234672481,0.0423550519478379,0.221155478304474,0.849089379899705,0.0420791550609983,15251.7687107725,0.00299635691650257,0.996965916692496,8001,Largest area,6
