outcome_key,outcome,family,outcome_order,geo_key,geography,geo_order,property_key,property_type,property_order,fe_key,fixed_effects,fe_order,sample_key,benchmark,centroid,delta,covariance_component,variance_component,decomposition_sum,identity_error,conditional_variance_ratio,conditional_error_variance,conditional_cov_exact_error,conditional_cov_error_y,N
cbd,CBD distance,primary,1,sa2,SA2,2,apartment,Apartment,2,sa3,SA3,2,full,-0.197374967141006,-0.217727754749204,-0.0203527876081981,-0.0299286365056939,0.0095758488974958,-0.0203527876081981,-0.0000000000000000260208521396521,0.951483974709646,0.00610748461054447,-0.00193136995026341,-0.00138474139363504,58216
cbd,CBD distance,primary,1,sa2,SA2,2,apartment,Apartment,2,sa4,SA4,3,full,-0.272398776311,-0.27426258278972,-0.00186380647872003,-0.0181265559089376,0.0162627494302175,-0.00186380647872008,0.0000000000000000485722573273506,0.940298008491601,0.00667745127872887,-0.000149378243289548,-0.00193668192391348,58216
cbd,CBD distance,primary,1,poa,Postcode,3,house,House,1,none,No FE,1,full,-0.308609502949043,-0.309747040226113,-0.00113753727706994,-0.00108759151589031,-0.0000499457611795995,-0.00113753727706991,-0.0000000000000000304525285196866,1.00016184129362,0.00692397092858718,-0.00352240096514186,-0.000811997787246541,281076
cbd,CBD distance,primary,1,poa,Postcode,3,house,House,1,sa3,SA3,2,full,-0.191103601907162,-0.18286731977752,0.00823628212964186,-0.0381938302553561,0.0464301123849979,0.00823628212964184,0.0000000000000000277555756156289,0.757042191138011,0.0056525800430397,-0.000334737998338155,-0.000783361650251357,281076
cbd,CBD distance,primary,1,poa,Postcode,3,house,House,1,sa4,SA4,3,full,-0.327564009866111,-0.308791913027921,0.0187720968381898,-0.0212254716884139,0.0399975685266037,0.0187720968381898,0.0000000000000000485722573273506,0.877893885402879,0.00637286819271392,0.000691816406821761,-0.00134829769217369,281076
cbd,CBD distance,primary,1,poa,Postcode,3,apartment,Apartment,2,none,No FE,1,full,-0.192880879876634,-0.178604013651024,0.0142768662256095,-0.0129880975168496,0.0272649637424591,0.0142768662256095,0.0000000000000000242861286636753,0.858643512203503,0.0850965816192212,0.0309234153536416,-0.013501434553912,58204
cbd,CBD distance,primary,1,poa,Postcode,3,apartment,Apartment,2,sa3,SA3,2,full,-0.197448325838086,-0.112362811644614,0.0850855141934718,-0.0587504278543379,0.14383594204781,0.0850855141934718,0,0.271526150260905,0.0771448763982433,0.0204933057265512,-0.00952714425757597,58203
cbd,CBD distance,primary,1,poa,Postcode,3,apartment,Apartment,2,sa4,SA4,3,full,-0.272517967270344,-0.163431575174367,0.109086392095978,-0.0509451990814474,0.160031591177425,0.109086392095978,-0.0000000000000000277555756156289,0.412766824953343,0.0821097143421581,0.0304168667232108,-0.0124010064731085,58203
shops1,Shops within 1 km,primary,2,sa1,SA1,1,house,House,1,none,No FE,1,full,0.0473143644813154,0.0506973532230989,0.0033829887417835,0.00313372128684851,0.00024926745493499,0.0033829887417835,0.00000000000000000216840434497101,1.00526832512003,0.644384157999112,-0.328158526736336,0.00709796144074123,281194
shops1,Shops within 1 km,primary,2,sa1,SA1,1,house,House,1,sa3,SA3,2,full,0.0195462534708522,0.0220556473351148,0.00250939386426266,0.00236073211008403,0.00014866175417863,0.00250939386426266,-0.00000000000000000308997619158369,1.00760563933136,0.641345609860124,-0.328437998979896,0.00482051334169725,281194
shops1,Shops within 1 km,primary,2,sa1,SA1,1,house,House,1,sa4,SA4,3,full,0.0275664686085021,0.0306590394056621,0.00309257079715999,0.00292524768510685,0.00016732311205314,0.00309257079715999,0.00000000000000000458075417875126,1.00606980583656,0.643553142298016,-0.328281164281565,0.00626957320083492,281194
shops1,Shops within 1 km,primary,2,sa1,SA1,1,apartment,Apartment,2,none,No FE,1,full,0.0477570719857632,0.0518890574870208,0.00413198550125756,0.00280824142531122,0.00132374407594633,0.00413198550125756,0.00000000000000000585469173142172,1.02771828382487,0.387427799102787,-0.216575628771938,0.00463241198170908,58217
shops1,Shops within 1 km,primary,2,sa1,SA1,1,apartment,Apartment,2,sa3,SA3,2,full,0.0204719930716884,0.0223303160534876,0.00185832298179917,0.00141551071203966,0.000442812269759507,0.00185832298179917,-0.00000000000000000222261445359528,1.02163014945388,0.360398718617043,-0.194696213173505,0.00189739344894561,58216
shops1,Shops within 1 km,primary,2,sa1,SA1,1,apartment,Apartment,2,sa4,SA4,3,full,0.0275528394880781,0.0300824498550034,0.00252961036692533,0.0023028406643413,0.000226769702584032,0.00252961036692534,-0.00000000000000000346944695195361,1.00823035689959,0.370541357819114,-0.191357738984172,0.00340629929834704,58216
shops1,Shops within 1 km,primary,2,sa2,SA2,2,house,House,1,none,No FE,1,full,0.0473143644813154,0.0270140406157511,-0.0203003238655643,-0.0160112890747215,-0.00428903479084282,-0.0203003238655643,-0.00000000000000000173472347597681,0.909350261007171,3.69948761581406,-1.73625301422677,-0.0400913212795462,281194
shops1,Shops within 1 km,primary,2,sa2,SA2,2,house,House,1,sa3,SA3,2,full,0.0195462534708522,0.00873287205694164,-0.0108133814139105,-0.0112302828755144,0.000416901461603829,-0.0108133814139105,-0.000000000000000000216840434497101,1.02132897039453,3.30519790706205,-1.6740827691357,-0.022623626178203,281194
shops1,Shops within 1 km,primary,2,sa2,SA2,2,house,House,1,sa4,SA4,3,full,0.0275664686085021,0.0057329787604521,-0.02183348984805,-0.0203017123448049,-0.00153177750324512,-0.02183348984805,0.00000000000000000130104260698261,0.944433306819261,3.58206437609151,-1.72759897498005,-0.0463516099681434,281194
shops1,Shops within 1 km,primary,2,sa2,SA2,2,apartment,Apartment,2,none,No FE,1,full,0.0477570719857632,0.0209379412196386,-0.0268191307661246,-0.0148324650554941,-0.0119866657106305,-0.0268191307661246,0.00000000000000000867361737988404,0.749007524703277,2.46975314174164,-0.950828827754909,-0.0335717492636221,58217
shops1,Shops within 1 km,primary,2,sa2,SA2,2,apartment,Apartment,2,sa3,SA3,2,full,0.0204719930716884,0.0100423725777078,-0.0104296204939806,-0.00825810190573954,-0.00217151858824103,-0.0104296204939806,-0.00000000000000000346944695195361,0.893927348420017,1.85609842082112,-0.846801871946542,-0.0126507406124389,58216
shops1,Shops within 1 km,primary,2,sa2,SA2,2,apartment,Apartment,2,sa4,SA4,3,full,0.0275528394880781,0.00976210323779482,-0.0177907362502833,-0.0121520301539587,-0.00563870609632456,-0.0177907362502833,0,0.795349365034976,2.14559357003195,-0.880928211409451,-0.0227860782592933,58216
shops1,Shops within 1 km,primary,2,poa,Postcode,3,house,House,1,none,No FE,1,full,0.0473005484411604,0.0438285285577671,-0.00347201988339329,-0.00825467054803466,0.00478265066464137,-0.00347201988339329,-0.000000000000000000867361737988404,1.10111194948597,3.47232771956286,-1.84074368705424,-0.0170755687037209,281076
shops1,Shops within 1 km,primary,2,poa,Postcode,3,house,House,1,sa3,SA3,2,full,0.0195358408974284,0.0150590165664196,-0.00447682433100876,-0.0151303732129575,0.0106535488819487,-0.00447682433100876,-0.00000000000000000173472347597681,1.54533351995875,2.86208666040282,-1.7941901177623,-0.0201511413686746,281076
shops1,Shops within 1 km,primary,2,poa,Postcode,3,house,House,1,sa4,SA4,3,full,0.0275533504803679,0.0256435294468154,-0.00190982103355253,-0.00952095245039503,0.0076111314168425,-0.00190982103355253,-0.00000000000000000520417042793042,1.27623251924536,3.1949477840599,-1.83091086373788,-0.0160918223087359,281076
shops1,Shops within 1 km,primary,2,poa,Postcode,3,apartment,Apartment,2,none,No FE,1,full,0.0476716025963556,0.0351717792217511,-0.0124998233746045,0.00345598380615007,-0.0159558071807545,-0.0124998233746045,-0.00000000000000000346944695195361,0.665297445192784,3.2494653694802,-1.1982864894237,0.00880657242701153,58204
shops1,Shops within 1 km,primary,2,poa,Postcode,3,apartment,Apartment,2,sa3,SA3,2,full,0.0204409057617388,0.0297691634304754,0.00932825766873652,0.00631228730403201,0.00301597036470451,0.00932825766873652,0,1.147545827952,2.00175322018418,-1.08891312127662,0.00753273419594319,58203
shops1,Shops within 1 km,primary,2,poa,Postcode,3,apartment,Apartment,2,sa4,SA4,3,full,0.0275199529667588,0.0275896479470797,0.0000696949803208925,0.00602808511147156,-0.00595839013115067,0.0000696949803208891,0.00000000000000000346944695195361,0.783488360668793,2.75366789793266,-1.17075160785533,0.011475428258968,58203
