outcome_key,outcome,family,outcome_order,geo_key,geography,geo_order,property_key,property_type,property_order,fe_key,fixed_effects,fe_order,sample_key,status,benchmark,benchmark_se,benchmark_p,centroid,centroid_se,centroid_p,delta,relative_change_percent,se_difference,absorption_r2,N,bootstrap_se,ci_low,ci_high,p_value_delta,clusters,global_fdr_q,within_outcome_fdr_q,relative_ci_low,relative_ci_high,absorption_percent
cbd,CBD distance,primary,1,poa,Postcode,3,apartment,Apartment,2,none,No FE,1,full,estimated,-0.192880879887444,0.00161463034463723,0,-0.178604013627366,0.00149642219569432,0,0.0142768662600776,-7.40190850871738,-0.000118208148942916,,58204,0.0136038738532995,-0.00494873304201483,0.0335667836335661,0.382,421,0.562891304347826,0.8595,-17.4028569618483,2.56569393757571,
cbd,CBD distance,primary,1,poa,Postcode,3,apartment,Apartment,2,sa3,SA3,2,full,estimated,-0.197448325838085,0.069199799945698,0.00681960714525305,-0.11236281164462,0.0086621637287497,0.000000000000000647109112140704,0.0850855141934655,-43.0925478007034,-0.0605376362169483,0.917470985385219,58203,0.0519797658543976,-0.00766934517491298,0.17986141752526,0.094,421,0.1850625,0.468,-91.0929058333738,3.88422902162368,91.7470985385219
cbd,CBD distance,primary,1,poa,Postcode,3,apartment,Apartment,2,sa4,SA4,3,full,estimated,-0.272517967270345,0.0257705782007398,0.0000000000422393411957668,-0.163431575174353,0.0367411765940633,0.000134074169350768,0.109086392095992,-40.0290642076366,0.0109705983933236,0.869061553179131,58203,0.0421088896127231,0.0430242774581538,0.173591858682091,0.001,421,0.0043448275862069,0.018,-63.6992343737409,-15.7876847127193,86.9061553179131
shops1,Shops within 1 km,primary,2,sa1,SA1,1,house,House,1,none,No FE,1,full,estimated,0.0473143644741114,0.00049941000532731,0,0.0506973532171173,0.000499586892026609,0,0.00338298874300591,7.15002469251584,0.000000176886699299115,,281194,0.000910141338672912,0.00163506983832224,0.00520872977077392,0.001,16759,0.0043448275862069,0.0045,3.45575779469021,11.0087704414247,
shops1,Shops within 1 km,primary,2,sa1,SA1,1,house,House,1,sa3,SA3,2,full,estimated,0.0195462534708516,0.00306271121393629,0.000000123800174763277,0.0220556473351155,0.00322523960073747,0.0000000278726606495646,0.00250939386426386,12.8382345394528,0.000162528386801181,0.271780300173965,281194,0.000673813680995042,0.00118707070691849,0.00378499982752707,0.001,16759,0.0043448275862069,0.0045,6.07313677113983,19.364323875015,27.1780300173965
shops1,Shops within 1 km,primary,2,sa1,SA1,1,house,House,1,sa4,SA4,3,full,estimated,0.0275664686084983,0.00452041563499582,0.00000163388575004431,0.0306590394056633,0.00504595920300139,0.00000173229199639357,0.00309257079716498,11.2185961904877,0.000525543568005575,0.203649671577253,281194,0.000923031561011551,0.00134440254613008,0.00480494676876842,0.001,16759,0.0043448275862069,0.0045,4.87694874966909,17.4304037162277,20.3649671577253
shops1,Shops within 1 km,primary,2,sa1,SA1,1,apartment,Apartment,2,none,No FE,1,full,estimated,0.0477570719777276,0.00117160920691529,0,0.0518890574774247,0.00118521237231329,0,0.00413198549969707,8.65209136277052,0.0000136031653980052,,58217,0.00480987937653889,-0.00393556408339224,0.0126442304760001,0.497,5229,0.649484536082474,0.659571428571429,-8.24079852556216,26.4761425949584,
shops1,Shops within 1 km,primary,2,sa1,SA1,1,apartment,Apartment,2,sa3,SA3,2,full,estimated,0.0204719930716891,0.00541443552050952,0.000511053635641657,0.0223303160534883,0.00529214908952962,0.000136482988428448,0.00185832298179926,9.07739161151413,-0.000122286430979899,0.385826225211247,58216,0.00327767761557613,-0.00399668494549279,0.00754665566063904,0.678,5229,0.798392523364486,0.749647058823529,-19.5226958679458,36.8633167968163,38.5826225211247
shops1,Shops within 1 km,primary,2,sa1,SA1,1,apartment,Apartment,2,sa4,SA4,3,full,estimated,0.0275528394880778,0.00559012341366566,0.0000368742523823636,0.0300824498550032,0.0055674199217278,0.0000103253308050712,0.00252961036692537,9.18094255954975,-0.0000227034919378635,0.257802544347219,58216,0.00351901768700449,-0.00362525671573531,0.00912821611117203,0.513,5229,0.656727272727273,0.659571428571429,-13.1574704570974,33.1298562354048,25.7802544347219
shops1,Shops within 1 km,primary,2,sa2,SA2,2,house,House,1,none,No FE,1,full,estimated,0.0473143644741114,0.00049941000532731,0,0.0270140406115047,0.000481088243697658,0,-0.0203003238626067,-42.9052024437827,-0.0000183217616296517,,281194,0.00679322948148867,-0.0337332709221283,-0.00782146954737486,0.003,621,0.0102162162162162,0.0108,-71.2960457084568,-16.5308561877746,
