label,source,mean_Apartment,mean_House,median_Apartment,median_House,sd_Apartment,sd_House,N_Apartment,N_House,display_order
Price (AUD),NSW Valuer General,961950.750316536,1239294.28221262,780000,975000,600979.93133114,830060.756393277,59235,281621,1
Area (sqm),NSW Valuer General,147.780401114206,800.405647526285,115,626,177.585470083315,891.217056273994,59235,281621,2
IRSAD,ABS,1058.79590099006,1004.94993226052,1072.038361,1004.526227,95.3885800141444,103.280861459987,58217,281188,3
IER,ABS,943.31849118364,1018.73127019043,940.4777068,1021.593935,79.9156931153122,95.8161001510733,58217,281194,4
CBD distance (km),G-NAF,62.923559480569,140.956390878065,16.3300457205112,62.4929414587248,133.745325460401,169.622403024535,59235,281621,5
Hospital distance (km),OpenStreetMap,2.24066476514039,4.61753145154392,1.51860311895349,2.7506013387708,3.21846207524954,6.11189835625753,59235,281621,6
Park distance (km),OpenStreetMap,0.27373476544659,0.49102890225115,0.216717622601008,0.295262309986471,0.371998803902134,1.01147647769083,59235,281621,7
Rail distance (km),OpenStreetMap,4.60188204811397,11.3970783214886,0.791136196184411,2.56338244842677,14.2410508636537,24.0195408678525,59235,281621,8
Shops within 1 km,G-NAF,184.00523339242,34.8185398105965,81,7,324.36042211009,94.4013770228367,59235,281621,9
