region,mean,median,sd,variable
Non-Sydney,818856.920542336,720000,493932.561018874,Purchase.price
Sydney,1457311.87569567,1196025,870940.330128599,Purchase.price
Non-Sydney,267.328596768166,209.840931176601,180.211910314238,dist_cbd_km
Sydney,27.3195423792622,22.9713854133334,18.9348982419689,dist_cbd_km
Non-Sydney,21.4707653772005,1,54.7657043997455,shops_1km
Sydney,88.8322246263775,22,213.147997191621,shops_1km
