outcome_key,outcome,family,outcome_order,geo_key,geography,geo_order,property_key,property_type,property_order,fe_key,fixed_effects,fe_order,sample_key,status,benchmark,benchmark_se,benchmark_p,centroid,centroid_se,centroid_p,delta,relative_change_percent,se_difference,absorption_r2,N,bootstrap_se,ci_low,ci_high,p_value_delta,clusters,global_fdr_q,within_outcome_fdr_q,relative_ci_low,relative_ci_high,absorption_percent
hospital,Hospital distance,additional,5,sa1,SA1,1,house,House,1,none,No FE,1,full,estimated,-0.0239849500006502,0.000843451241044441,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000127416147437376,-0.0273780936565182,0.000846810836713945,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000681395305277501,-0.00339314365586807,14.1469698947719,0.0000033595956695047,,281194,0.000552255606475581,-0.00454951051504928,-0.00231528711682782,0.001,16759,0.0043448275862069,0.003,9.65308294061511,18.9681884470302,
hospital,Hospital distance,additional,5,sa1,SA1,1,house,House,1,sa3,SA3,2,full,estimated,-0.00877595569310668,0.00956804391157283,0.364393966905112,-0.0111533394931015,0.00953061779367513,0.248652323650733,-0.00237738379999482,27.0897425093224,-0.0000374261178976952,0.280849311351766,281194,0.000467291824501625,-0.00333319416996234,-0.00145634917798393,0.001,16759,0.0043448275862069,0.003,16.5947644782193,37.9809822032316,28.0849311351766
hospital,Hospital distance,additional,5,sa1,SA1,1,house,House,1,sa4,SA4,3,full,estimated,-0.00120353526927117,0.0096662506072755,0.901834635331571,-0.00382279525815546,0.00955076650280155,0.692113997802984,-0.00261925998888429,217.63051368411,-0.000115484104473948,0.158954297151234,281194,0.00045895901694496,-0.00351355116492583,-0.00174078620695404,0.001,16759,0.0043448275862069,0.003,144.639401220723,291.935870483758,15.8954297151234
hospital,Hospital distance,additional,5,sa1,SA1,1,apartment,Apartment,2,none,No FE,1,full,estimated,-0.0422843987030426,0.00189377145529617,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000571738533711373,-0.0431354515497642,0.00188774190890589,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000467022452427076,-0.000851052846721601,2.01268759359314,-0.00000602954639027922,,58217,0.00194934557495674,-0.00465936559562671,0.0027931173367114,0.702,5229,0.818422018348624,0.8796,-6.60555056328711,11.019112813567,
hospital,Hospital distance,additional,5,sa1,SA1,1,apartment,Apartment,2,sa3,SA3,2,full,estimated,0.00405114565834126,0.013472473906953,0.765202257307907,0.00453772348605807,0.0134109694834251,0.736862239772008,0.000486577827716812,12.0108697329842,-0.0000615044235278885,0.31773427949189,58216,0.00136209394136149,-0.00231423625249091,0.00292142248005594,0.733,5229,0.839618181818182,0.8796,-57.1254762890574,72.1134890334237,31.773427949189
hospital,Hospital distance,additional,5,sa1,SA1,1,apartment,Apartment,2,sa4,SA4,3,full,estimated,0.0057253227833877,0.0107522749452903,0.598751929813924,0.00572864038089524,0.0111786885374203,0.612495507000514,0.00000331759750753918,0.0579460343644866,0.000426413592129965,0.161990268311189,58216,0.00133492286492281,-0.00260053216327654,0.00258532103060028,0.999,5229,0.999,0.999,-45.4215816586292,45.1558999974939,16.1990268311189
hospital,Hospital distance,additional,5,sa2,SA2,2,house,House,1,none,No FE,1,full,estimated,-0.0239849500006502,0.000843451241044441,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000127416147437376,-0.0683865495899116,0.000802583595872689,0,-0.0444015995892615,185.122752342856,-0.0000408676451717513,,281194,0.0111149475899192,-0.0665647083634459,-0.0225276901566313,0.001,621,0.0043448275862069,0.003,93.9242739969049,277.52698405309,
hospital,Hospital distance,additional,5,sa2,SA2,2,house,House,1,sa3,SA3,2,full,estimated,-0.00877595569310668,0.00956804391157283,0.364393966905112,-0.0268726155830675,0.0105730034104941,0.0149107007706915,-0.0180966598899609,206.207284115796,0.00100495949892129,0.389739198345001,281194,0.00629729931788368,-0.0303848838665097,-0.0057574025881791,0.002,621,0.007,0.0036,65.6042804853882,346.228774723376,38.9739198345001
hospital,Hospital distance,additional,5,sa2,SA2,2,house,House,1,sa4,SA4,3,full,estimated,-0.00120353526927117,0.0096662506072755,0.901834635331571,-0.019397134366194,0.0134867418503913,0.161857855489823,-0.0181935990969228,1511.67976223417,0.00382049124311576,0.203497741992669,281194,0.00986307921563272,-0.0374125733992118,0.000327190113425255,0.059,621,0.130344827586207,0.0965454545454545,-27.1857519907491,3108.55646314942,20.3497741992669
hospital,Hospital distance,additional,5,sa2,SA2,2,apartment,Apartment,2,none,No FE,1,full,estimated,-0.0422843987030426,0.00189377145529617,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000571738533711373,-0.0518912876488269,0.00185999910738088,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000368693908730084,-0.00960688894578432,22.7197009782548,-0.0000337723479152837,,58217,0.0114322255189136,-0.0304706238245158,0.0117934115920359,0.433,560,0.580404255319149,0.599538461538462,-27.8906924392124,72.0611496417549,
hospital,Hospital distance,additional,5,sa2,SA2,2,apartment,Apartment,2,sa3,SA3,2,full,estimated,0.00405114565834126,0.013472473906953,0.765202257307907,0.00390955521442737,0.0144540141236766,0.788180007238832,-0.000141590443913885,-3.4950716625642,0.000981540216723562,0.449848577830663,58216,0.00811365613468981,-0.0157352681066748,0.0167474458956692,0.986,560,0.999,0.999,-388.415264069218,413.400240526687,44.9848577830663
